scenario,r0,ve1,age_factor,u5_weighted_mcv1_pct,u5_weighted_r_cov,provinces_r_cov_gt_1,one_dose_required_pct,two_dose_required_pct_ve2_0p97,sia_preferential_n,sia_preferential_pct_u5,sia_random_n,sia_random_pct_u5,n_provinces_random_requirement_gt_100pct
Reference,15.0,0.93,1.0,50.56681539402753,7.94592925253316,34,100.35842293906809,96.21993127147766,4056042.0399888135,49.79160754504057,7530647.856211407,92.44555626386301,0
Lower R0,12.0,0.93,1.0,50.56681539402753,6.356743402026528,34,98.56630824372759,94.50171821305841,3910055.740225193,47.99949284970007,7223515.323809957,88.67522489972121,0
Upper R0,18.0,0.93,1.0,50.56681539402753,9.535115103039791,34,101.5531660692951,97.36540664375715,4153366.239831227,50.98635067526758,7735402.877812372,94.95911050662417,3
Higher VE1,15.0,0.95,1.0,50.56681539402753,7.794228806351078,34,98.24561403508773,96.21993127147766,3883931.8760569673,47.6787986410602,7334225.854011771,90.0342974183402,0
Age-eligibility proxy (0–8 months zero MCV1-derived immunity),15.0,0.93,0.85,42.98179308492339,9.004039864653187,34,100.35842293906809,96.21993127147766,4673920.6520049,57.37662985414471,7730957.279317142,94.90453673904608,0
Best-favourable R0+VE1,12.0,0.95,1.0,50.56681539402753,6.235383045080863,34,96.49122807017544,94.50171821305841,3741018.972077844,45.92441267614792,7024088.757827871,86.22708229924102,0
