province,mcv1,mcv1_se,design_effect,weighted_n,unweighted_n,mcv1_ci_low,mcv1_ci_high,mcv1_pct,source_x,population_total_2026,population_u5,source_y,incidence_category,published_incidence_range_per_10000,exact_value_if_stated,source,immune_fraction_mcv1,r_cov,r_cov_r0_12,r_cov_r0_18,sia_preferential,sia_random,sia_preferential_n,sia_random_n,sia_preferential_unattainable_one_pass,sia_random_unattainable_one_pass,mcv1_age_eligibility_proxy,r_cov_age_eligibility_proxy,annual_routine_mcv1_unprotected,routine_mcv1_unprotected_3p5yr,r_cov_ci_low,r_cov_ci_high,sia_pref_ci_low,sia_pref_ci_high,sia_rand_ci_low,sia_rand_ci_high,routine_gap_ci_low,routine_gap_ci_high,peak_infectious,peak_day,incident_infections_after_introduction,attack_rate_total_u5,attack_rate_initial_susceptible
Ghazni,0.393,0.054,1.903,193,159,0.286,0.5,39.3,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10",1533902.716,257267.8713,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis,2,3.2-5.7,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3",0.36549000000000004,9.517649999999998,7.614119999999999,11.421179999999998,0.6105842293906809,0.9622925239802067,157083.70494469136,247566.94921229198,False,False,0.33405,10.3400025,32647.807403712595,114267.32591299409,8.024999999999999,11.0103,0.5035842293906809,0.717584229390681,0.9412789334405254,0.9776085520703536,96346.81780184997,132187.83402413822,32809.182651102004,37.25,163226.02370818122,0.6344594172734589,0.9999264061820322
Paktika,0.163,0.026,1.048,100,217,0.112,0.215,16.3,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10",560510.3037,93550.08374,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis,3,5.8-8.5,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3",0.15159,12.72615,10.18092,15.27138,0.840584229390681,0.990775956660908,78636.72505002157,92687.17371320656,False,False,0.13855,13.0672275,15873.765309170682,55558.17858209739,12.000749999999998,13.4376,0.7885842293906808,0.8915842293906809,0.9856686824456984,0.9952494076963309,52391.321147330906,58664.13491234912,17092.554986208714,29.25,79367.59062614548,0.848396788684109,0.9999970275145712
Paktia,0.379,0.037,1.18,103,204,0.305,0.453,37.9,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10",1164502.475,195346.93,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis,4,8.6-13.6,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3",0.35247,9.71295,7.770359999999999,11.655539999999998,0.6245842293906809,0.9645641582485459,122010.61173788528,188424.64710188762,False,False,0.32215,10.506007499999999,25298.599516579998,88545.09830802999,8.68065,10.74525,0.550584229390681,0.698584229390681,0.9513991971638316,0.9751995943193703,79134.45530220999,97955.74131385001,25569.344134867122,36.0,126484.34095024725,0.6474856858525867,0.9999394694304854
Khost,0.422,0.038,1.588,193,271,0.347,0.498,42.2,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10",1353165.367,227388.1724,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis,3,5.8-8.5,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3",0.39246000000000003,9.1131,7.29048,10.93572,0.581584229390681,0.9572772646915118,132245.37501780933,217673.52769827392,False,False,0.35869999999999996,9.996135,27629.482051979197,96703.18718192719,8.0529,10.15935,0.505584229390681,0.656584229390681,0.9417431535049752,0.9694285009238008,85452.92996426481,107805.4146993572,27415.048676409744,37.75,138131.16947949413,0.6074685768462341,0.9998896766092352
Kunar,0.524,0.06,2.623,87,181,0.403,0.644,52.400000000000006,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10",1358622.363,220052.3782,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis,3,5.8-8.5,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3",0.48732000000000003,7.690200000000001,6.15216,9.22824,0.47958422939068096,0.9354455593951021,105533.65022463369,205847.02002152157,False,False,0.4454,8.786669999999999,22563.290651115203,78971.51727890321,6.0161999999999995,9.37815,0.35958422939068097,0.6005842293906809,0.8965399157043009,0.9606120013926217,61781.02549391921,96305.2631620954,21162.316164457923,42.0,112763.68186712806,0.5124401871478073,0.9995410966587116
Nuristan,0.207,0.039,1.728,27,191,0.13,0.284,20.7,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10",307892.4298,50179.11853,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis,5,13.7-25.2,21.6,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3",0.19251,12.112350000000001,9.68988,14.53482,0.7965842293906811,0.9864942344681432,39971.89446572369,49501.41112053857,False,False,0.17595,12.5454975,8103.82728435794,28363.39549525279,11.038200000000002,13.1865,0.7195842293906811,0.8735842293906809,0.977855396791163,0.9937256619163701,25848.06682069948,30878.7241698061,8639.431057365571,28.5,40517.913910727664,0.8074656370558542,0.9999945083589304
Badakhshan,0.489,0.044,1.152,210,149,0.4,0.577,48.9,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10",1679524.099,294273.6387,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis,4,8.6-13.6,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3",0.45477,8.17845,6.5427599999999995,9.81414,0.5145842293906809,0.9437929486467748,151428.57360043118,277733.3851776887,False,False,0.41564999999999996,9.2016825,32089.3632056802,112312.7712198807,6.950849999999999,9.419999999999998,0.42658422939068097,0.6035842293906809,0.9205727991339498,0.9611213843800653,95454.4230060351,129362.69157251998,30760.253188491635,41.25,160400.68535949485,0.5450732388673687,0.9997187170720727
Takhar,0.693,0.044,1.495,232,169,0.606,0.78,69.3,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10",1859588.799,326624.5277,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis,3,5.8-8.5,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3",0.64449,5.33265,4.26612,6.399179999999999,0.310584229390681,0.8736300790151641,101444.42723579962,285349.01194284164,False,False,0.58905,6.782752499999999,23223.6571685254,81282.8000898389,4.119,6.5463000000000005,0.22358422939068096,0.39758422939068105,0.8142178783345994,0.9110128531934398,62783.766714493984,99781.8334651838,18397.179167338876,55.75,115541.25580214728,0.35374335361694054,0.995039239538716
Kunduz,0.433,0.044,1.328,225,171,0.346,0.521,43.3,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10",1436179.634,252184.4855,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis,2,3.2-5.7,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3",0.40269,8.95965,7.16772,10.75158,0.570584229390681,0.9552564487296061,143892.49032330286,240900.85604343287,False,False,0.36805,9.865702500000001,30126.463006801,105442.6205238035,7.73205,10.173300000000001,0.48258422939068096,0.6575842293906811,0.9362023578300988,0.9695736330256863,90995.4757184795,119725.59322906702,29741.97123327321,38.5,150611.93791198457,0.5972291975589615,0.9998713605997792
Samangan,0.629,0.066,2.164,69,118,0.498,0.761,62.9,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10",662518.7708,102739.4947,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis,3,5.8-8.5,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3",0.58497,6.22545,4.98036,7.47054,0.37458422939068103,0.9025473565541792,38484.594450187455,92727.2593551971,False,False,0.53465,7.5416325,8527.994497068199,29847.980739738698,4.3840499999999984,8.0529,0.24258422939068092,0.505584229390681,0.830000442709416,0.9417431535049752,21019.37048117829,38609.7075872494,7321.122512848446,45.5,42553.55550861216,0.41418887286596867,0.9979967393267226
Balkh,0.612,0.043,1.141,346,150,0.527,0.698,61.2,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10",2437336.592,354606.1478,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis,5,13.7-25.2,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3",0.56916,6.4626,5.1700800000000005,7.75512,0.391584229390681,0.9088855013245776,138858.1751234609,322296.38641598023,False,False,0.5202,7.7432099999999995,30555.702543630396,106944.95890270639,5.262900000000001,7.648349999999999,0.3055842293906811,0.47658422939068096,0.8709577306922448,0.9346804789085508,87091.9791119756,126567.09009121938,26690.15513605137,49.0,152536.62579901272,0.43015787161435315,0.9984232828846764
Sar-e Pul,0.575,0.058,2.879,140,210,0.459,0.691,57.49999999999999,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10",868072.0522,135844.3975,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis,1,0.6-3.1,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3",0.53475,6.978750000000001,5.583,8.374500000000001,0.428584229390681,0.9211912507053863,58220.76641957885,125138.67043434465,False,False,0.48874999999999996,8.1819375,12640.321187375,44241.124155812504,5.36055,8.59695,0.312584229390681,0.5445842293906809,0.8746795461025856,0.9501932011771866,33982.6986342025,54499.54967742249,11415.174679302438,43.0,63141.35022245391,0.4648064357785084,0.9990624185711087
Ghor,0.271,0.041,1.192,133,144,0.19,0.352,27.1,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10",1075240.835,199188.7006,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis,2,3.2-5.7,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3",0.25203000000000003,11.21955,8.97564,13.463460000000001,0.732584229390681,0.97942996295397,145922.5007323821,195091.38164950744,False,False,0.23035,11.7866175,29797.434477556402,104291.0206714474,10.0896,12.349499999999999,0.651584229390681,0.8135842293906809,0.9686968205736812,0.9881989911219252,93787.6013001088,114794.44004278601,31231.265361222166,33.25,148984.1742626752,0.7479549483173604,0.9999865885197613
Daykundi,0.735,0.055,2.402,154,154,0.624,0.845,73.5,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10",820910.5584,110928.709,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis,1,0.6-3.1,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3",0.68355,4.7467500000000005,3.7974,5.6961,0.268584229390681,0.848741442220512,29793.7018240681,94149.79246031948,False,False,0.62475,6.2847374999999985,7020.67799261,24572.372974135,3.212249999999999,6.2951999999999995,0.15858422939068095,0.3795842293906809,0.7405287386910157,0.9044610879495829,16628.768122644997,32588.192415183996,5179.647233079896,55.5,34784.31562097848,0.31357360898321174,0.990938669919446
Uruzgan,0.086,0.035,1.9,63,126,0.017,0.155,8.6,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10",644803.6794,131696.9245,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis,5,13.7-25.2,20.7,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3",0.07998,13.8003,11.04024,16.560360000000003,0.9175842293906811,0.9973524808055053,120843.0209804552,131348.25436453032,False,False,0.0731,13.980255,24232.760895698,84814.663134943,12.83775,14.76285,0.848584229390681,0.986584229390681,0.9915104625701712,1.0024326902231082,78898.96898332749,90730.3572865585,26489.845296292013,28.75,121162.68145691136,0.9200114726818193,0.9999989846588715
Zabul,0.286,0.04,1.737,95,227,0.207,0.365,28.6,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10",539247.4479,110316.1722,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis,3,5.8-8.5,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3",0.26598,11.0103,8.80824,13.21236,0.717584229390681,0.9776085520703536,79161.14541746667,107846.03337438579,False,False,0.24309999999999998,11.608754999999999,16194.8553436488,56681.9937027708,9.908249999999999,12.112350000000001,0.6385842293906809,0.7965842293906811,0.9667462408457815,0.9864942344681432,51008.543282697,62355.4441228446,16902.091855576844,32.0,80971.93794119809,0.7339987993274307,0.9999834664336166
Kandahar,0.324,0.022,0.541,299,245,0.28,0.368,32.4,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10",2222609.548,432706.4034,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis,2,3.2-5.7,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3",0.30132000000000003,10.4802,8.38416,12.576239999999999,0.679584229390681,0.9726687888456532,294060.44770700217,420880.01332083665,False,False,0.2754,11.15817,60464.6619855024,211626.31694925838,9.8664,11.094000000000001,0.635584229390681,0.723584229390681,0.9662859240310766,0.978345361534182,199231.87473026878,224020.759168248,62349.64017516907,36.5,302313.81606824085,0.698658059351106,0.9999719046230058
Jowzjan,0.391,0.042,1.667,163,221,0.306,0.476,39.1,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10",738467.9249,111879.0681,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis,5,13.7-25.2,19.1,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3",0.36363,9.54555,7.63644,11.45466,0.612584229390681,0.9626227342437276,68535.35271698603,107697.33443906221,False,False,0.33235,10.3637175,14239.2965133594,49837.537796757904,8.3598,10.7313,0.527584229390681,0.6975842293906809,0.9466450681667281,0.9750695107638604,43646.709563444405,56028.3660300714,14320.701264780755,34.75,71190.38727047009,0.636315518885432,0.999928432308579
Faryab,0.557,0.053,2.156,294,190,0.451,0.663,55.7,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10",1825800.581,283604.9726,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis,2,3.2-5.7,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3",0.5180100000000001,7.229849999999999,5.783879999999999,8.675819999999998,0.44658422939068093,0.9265425203649059,126653.50813993617,262772.06610082404,False,False,0.47345000000000004,8.3953725,27338.952148694792,95686.33252043178,5.751149999999999,8.70855,0.3405842293906809,0.552584229390681,0.8883029378229076,0.9517960442163408,76115.88778119617,115256.77725966739,25043.605800581772,44.5,136594.185359869,0.4816353680530248,0.9992715440480723
Helmand,0.295,0.043,2.082,514,240,0.21,0.38,29.5,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10",2862519.914,581630.5897,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis,5,13.7-25.2,25.2,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3",0.27435,10.88475,8.7078,13.0617,0.708584229390681,0.976482091077904,412134.2631926219,567951.8544651304,False,False,0.25075,11.5020375,84412.047483161,295442.16619106353,9.699,12.0705,0.6235842293906809,0.793584229390681,0.9644049325559556,0.9861864413951547,263257.637510014,327626.69487211294,87849.09739386712,36.5,422051.3256179737,0.7256346779072678,0.9999812542952982
Badghis,0.279,0.039,1.125,139,153,0.202,0.356,27.9,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10",834593.7943,153212.1881,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis,3,5.8-8.5,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3",0.25947000000000003,11.107949999999999,8.88636,13.329539999999998,0.7245842293906809,0.978467083562693,111015.13524769855,149913.08285646574,False,False,0.23715000000000003,11.6917575,22691.644330738596,79420.75515758508,10.0338,12.1821,0.6475842293906809,0.801584229390681,0.9681041520520854,0.9870025234450722,71740.6878046964,87100.82251047381,23730.61429559767,32.75,113455.52034503609,0.7405123688396438,0.999985004844715
Herat,0.805,0.051,3.2,554,193,0.702,0.907,80.5,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10",3629767.697,584035.0975,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis,2,3.2-5.7,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3",0.74865,3.7702499999999994,3.0161999999999995,4.524299999999999,0.19858422939068096,0.7900705366647345,115980.15977414872,461428.9229128655,False,False,0.68425,5.4547124999999985,29359.444351324997,102758.0552296375,2.3473499999999987,5.2071000000000005,0.09658422939068091,0.301584229390681,0.6171910626281613,0.8687683049797805,63976.95668544247,141919.36062230502,18190.49808616836,77.0,143073.69582110993,0.24497448258425927,0.9746415412401643
Farah,0.44,0.077,4.11,121,173,0.287,0.594,44.0,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10",878882.4187,155445.9306,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis,2,3.2-5.7,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3",0.4092,8.862,7.0896,10.6344,0.563584229390681,0.9539340375603943,87606.87500911827,148285.16419959083,False,False,0.374,9.7827,18367.491159695997,64286.21905893599,6.713699999999999,10.99635,0.40958422939068095,0.716584229390681,0.915108426182316,0.9774846599881065,48702.142732563596,79769.10008448779,18069.964361967006,37.5,91823.42883002205,0.5907097630384803,0.9998581503571248
Nimroz,0.592,0.053,2.413,78,207,0.486,0.699,59.2,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10",433174.8048,81730.8721,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis,4,8.6-13.6,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3",0.55056,6.741599999999999,5.393279999999999,8.08992,0.41158422939068096,0.915771247309276,33639.1380107068,74846.78268669189,False,False,0.5032,7.980360000000001,7346.624631324799,25713.1862096368,5.24895,8.2203,0.30458422939068097,0.517584229390681,0.8704147383496157,0.9444622995341065,20020.058851767095,31353.106769769398,6538.41184443078,42.25,36688.402046721014,0.4488928247557635,0.9988097309345132
