province,province_seed,n_sims,outbreak_probability,non_establishment_probability,n_established,peak_median_established,peak_p05_established,peak_p95_established,peak_day_median_established,attack_total_u5_median_established,attack_initial_sus_median_established,remaining_active_at_horizon,mcv1,population_u5,r_cov,deterministic_peak,deterministic_peak_day,deterministic_attack_total_u5
Uruzgan,2856952788,1000,0.939,0.061000000000000054,939,26732.0,26490.0,26973.2,29.400000000000002,0.9200133640098104,1.0,0,0.086,131696.9245,13.8003,26489.845296292013,28.75,0.9200114726818193
Paktika,2078875884,1000,0.918,0.08199999999999996,918,17257.0,17061.55,17455.75,29.900000000000002,0.8484019241047568,1.0,0,0.163,93550.08374,12.72615,17092.554986208714,29.25,0.848396788684109
Nuristan,3410022071,1000,0.924,0.07599999999999996,924,8735.0,8601.0,8869.0,29.400000000000002,0.8074692600490245,1.0,0,0.207,50179.11853,12.112350000000001,8639.431057365571,28.5,0.8074656370558542
Herat,1025184201,1000,0.773,0.22699999999999998,773,18322.0,18104.0,18581.6,77.7,0.24507949009905228,0.9750606283549961,0,0.805,584035.0975,3.7702499999999994,18190.49808616836,77.0,0.24497448258425927
Helmand,224298542,1000,0.914,0.08599999999999997,914,88536.5,88099.65,88963.7,37.0,0.7256387640961366,0.9999857840117519,0,0.295,581630.5897,10.88475,87849.09739386712,36.5,0.7256346779072678
Kabul,3031591316,1000,0.832,0.16800000000000004,832,62633.0,62196.1,63067.35,59.2,0.3765542314884813,0.9966262021540706,0,0.669,1005320.488,5.667449999999999,62227.44998006645,58.0,0.3764966108685743
Panjshir,767290084,1000,0.857,0.14300000000000002,857,2804.0,2723.6,2886.0,41.2,0.43019515918011336,0.9985448563836518,0,0.612,36687.53036,6.4626,2761.293326720077,40.5,0.43013347335393576
Nimroz,346193853,1000,0.863,0.137,863,6614.0,6490.1,6745.8,43.2,0.44892390892072775,0.9988838070347381,0,0.592,81730.8721,6.741599999999999,6538.41184443078,42.25,0.4488928247557635
Bamyan,18747431,1000,0.659,0.34099999999999997,659,1046.0,984.0,1104.0,88.2,0.1589888764976695,0.9081257656186198,0,0.887,69941.8758,2.6263499999999995,1012.111656821262,89.5,0.15894277473166188
