SIA_reach_pct,U5_weighted_Rcov,provinces_Rcov_lt1
0.0,7.94592925253316,0
20.0,6.467986411561991,0
40.0,4.990043570590824,0
50.0,4.251072150105241,0
60.0,3.512100729619657,0
70.0,2.773129309134073,1
80.0,2.0341578886484886,2
90.0,1.2951864681629044,5
95.0,0.9257007579201131,17
100.0,0.5562150476773209,34
