r0,ve2,two_dose_required_pct
12.0,0.96,95.48611111111111
12.0,0.97,94.50171821305841
12.0,0.99,92.5925925925926
15.0,0.96,97.22222222222223
15.0,0.97,96.21993127147766
15.0,0.99,94.27609427609428
18.0,0.96,98.37962962962963
18.0,0.97,97.36540664375715
18.0,0.99,95.39842873176207
